1|24,00|1234|2024-09-15 15:50:48
1|12,00|123456|2024-09-15 15:51:36
2|12,00|123456|2024-09-15 15:51:48
3|78,95|123456|2024-09-15 15:54:35
4|115,00|123456|2024-09-15 15:55:42
5|12,00|123456|2024-09-15 15:58:05
6|23,00|123456|2024-09-15 15:58:54
7|24,00|123456|2024-09-15 16:01:49
8|23,00|123456|2024-09-15 16:02:20
9|23,00|1234|2024-09-15 16:03:39
10|36,00|anameuamor|2024-09-15 17:56:04
11|157,90|anameuamor|2024-09-15 17:56:50
12|4072,00|anameuamor|2024-09-15 17:58:02
13|2047,00|pspsps|2024-09-15 17:59:18
14|540,00|anac|2024-09-15 18:00:40
15|1405,31|anameuamor|2024-09-15 18:01:43
